player,team,position,points,bonus,points p/g,form,minutes,now cost,roi per million,goals,xG,xG per 90,assists,xA,xA per 90,conceded,xGA,conceded - xGA,clean sheets
Gabriel dos Santos Magalhães,Arsenal,Defender,24.0,2.0,3.4,5.0,474.0,4.7,5.106382978723404,0.0,0.07,0.01,0.0,0.04,0.01,3.0,4.75,-1.75,3.0
Jakub Kiwior,Arsenal,Defender,2.0,0.0,1.0,0.0,91.0,4.3,0.46511627906976744,0.0,0.32,0.32,0.0,0.03,0.03,2.0,0.79,1.21,0.0
William Saliba,Arsenal,Defender,36.0,3.0,4.5,5.0,720.0,5.2,6.9230769230769225,0.0,0.04,0.0,1.0,0.11,0.01,6.0,6.77,-0.7699999999999996,4.0
Takehiro Tomiyasu,Arsenal,Defender,8.0,0.0,1.3,0.8,166.0,4.5,1.7777777777777777,0.0,0.03,0.02,0.0,0.11,0.06,1.0,3.2,-2.2,1.0
Benjamin White,Arsenal,Defender,45.0,7.0,5.6,8.5,720.0,5.6,8.035714285714286,1.0,0.52,0.06,1.0,0.67,0.08,6.0,6.77,-0.7699999999999996,4.0
Oleksandr Zinchenko,Arsenal,Defender,25.0,2.0,3.6,5.2,421.0,4.9,5.1020408163265305,0.0,0.28,0.06,0.0,0.36,0.08,4.0,4.0,0.0,3.0
Jurriën Timber,Arsenal,Defender,0.0,0.0,0.0,0.0,49.0,4.7,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.28,-0.28,0.0
Matty Cash,Aston Villa,Defender,36.0,4.0,4.5,3.8,707.0,5.0,7.2,2.0,3.12,0.4,1.0,0.83,0.11,11.0,11.96,-0.9600000000000009,2.0
Diego Carlos Santos Silva,Aston Villa,Defender,6.0,0.0,1.2,0.5,250.0,4.4,1.3636363636363635,0.0,0.37,0.13,0.0,0.02,0.01,5.0,3.65,1.35,0.0
Lucas Digne,Aston Villa,Defender,28.0,2.0,3.5,3.2,710.0,4.6,6.086956521739131,0.0,0.14,0.02,3.0,0.99,0.13,12.0,12.29,-0.28999999999999915,2.0
Ezri Konsa Ngoyo,Aston Villa,Defender,21.0,1.0,2.6,3.0,720.0,4.5,4.666666666666667,0.0,0.44,0.06,0.0,0.06,0.01,12.0,12.74,-0.7400000000000002,2.0
Tyrone Mings,Aston Villa,Defender,0.0,0.0,0.0,0.0,30.0,4.2,0.0,0.0,0.01,0.03,0.0,0.16,0.48,2.0,1.08,0.9199999999999999,0.0
Pau Torres,Aston Villa,Defender,31.0,4.0,3.9,5.5,689.0,4.5,6.888888888888889,1.0,0.35,0.05,0.0,0.1,0.01,10.0,11.66,-1.6600000000000001,2.0
James Hill,Bournemouth,Defender,1.0,0.0,1.0,0.0,15.0,4.0,0.25,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.19,-0.19,0.0
Lloyd Kelly,Bournemouth,Defender,10.0,2.0,2.5,2.2,276.0,4.5,2.2222222222222223,0.0,0.0,0.0,0.0,0.07,0.02,5.0,5.6,-0.5999999999999996,1.0
Chris Mepham,Bournemouth,Defender,1.0,0.0,0.5,0.0,33.0,4.3,0.23255813953488372,0.0,0.0,0.0,0.0,0.01,0.03,1.0,1.22,-0.21999999999999997,0.0
Marcos Senesi,Bournemouth,Defender,8.0,0.0,1.1,0.5,435.0,4.4,1.8181818181818181,0.0,0.0,0.0,1.0,0.32,0.07,13.0,14.01,-1.0099999999999998,0.0
Adam Smith,Bournemouth,Defender,2.0,0.0,1.0,0.5,92.0,4.4,0.45454545454545453,0.0,0.0,0.0,0.0,0.16,0.16,4.0,3.12,0.8799999999999999,0.0
Illia Zabarnyi,Bournemouth,Defender,12.0,0.0,1.5,1.8,720.0,4.5,2.6666666666666665,0.0,0.28,0.04,0.0,0.05,0.01,18.0,19.26,-1.2600000000000016,1.0
