player,team,position,points,bonus,points p/g,form,minutes,now cost,roi per million,goals,xG,xG per 90,assists,xA,xA per 90,conceded,xGA,conceded - xGA,clean sheets
Cédric Alves Soares,Arsenal,Defender,10.0,0.0,1.2,0.0,223.0,4.0,2.5,0.0,0.06,0.02,0.0,0.19,0.08,3.0,2.83,0.16999999999999993,0.0
Gabriel dos Santos Magalhães,Arsenal,Defender,146.0,15.0,3.8,0.0,3409.0,5.0,29.2,3.0,5.04,0.13,0.0,0.66,0.02,43.0,41.84,1.1599999999999966,14.0
Rob Holding,Arsenal,Defender,21.0,0.0,1.5,0.0,562.0,4.5,4.666666666666667,1.0,0.32,0.05,0.0,0.15,0.02,13.0,11.14,1.8599999999999994,0.0
Jakub Kiwior,Arsenal,Defender,26.0,1.0,3.7,0.0,425.0,4.5,5.777777777777778,1.0,0.1,0.02,0.0,0.01,0.0,6.0,6.46,-0.45999999999999996,2.0
William Saliba,Arsenal,Defender,117.0,14.0,4.3,0.0,2415.0,5.0,23.4,2.0,0.91,0.03,1.0,0.32,0.01,25.0,26.86,-1.8599999999999994,12.0
Kieran Tierney,Arsenal,Defender,37.0,0.0,1.4,0.0,774.0,4.5,8.222222222222221,0.0,0.38,0.04,1.0,0.43,0.05,10.0,10.9,-0.9000000000000004,1.0
Takehiro Tomiyasu,Arsenal,Defender,32.0,0.0,1.5,0.0,651.0,4.5,7.111111111111111,0.0,0.24,0.03,1.0,0.23,0.03,11.0,8.93,2.0700000000000003,2.0
Benjamin White,Arsenal,Defender,156.0,12.0,4.1,0.0,3054.0,5.5,28.363636363636363,2.0,1.25,0.04,5.0,3.6,0.11,35.0,37.23,-2.229999999999997,15.0
Oleksandr Zinchenko,Arsenal,Defender,99.0,8.0,3.7,0.0,2122.0,5.0,19.8,1.0,1.32,0.06,2.0,2.39,0.1,28.0,26.67,1.3299999999999983,10.0
Alexandre Moreno Lopera,Aston Villa,Defender,72.0,5.0,3.8,0.0,1325.0,5.0,14.4,0.0,0.59,0.04,3.0,2.57,0.17,10.0,17.83,-7.829999999999998,7.0
Matty Cash,Aston Villa,Defender,57.0,3.0,2.2,0.0,1817.0,4.5,12.666666666666666,0.0,0.2,0.01,2.0,0.95,0.05,29.0,27.14,1.8599999999999994,4.0
Calum Chambers,Aston Villa,Defender,13.0,0.0,0.9,0.0,345.0,4.0,3.25,0.0,0.14,0.04,0.0,0.19,0.05,4.0,5.88,-1.88,0.0
Diego Carlos Santos Silva,Aston Villa,Defender,4.0,0.0,1.3,0.0,205.0,4.5,0.8888888888888888,0.0,0.36,0.16,0.0,0.11,0.05,3.0,1.92,1.08,0.0
Lucas Digne,Aston Villa,Defender,50.0,4.0,1.8,0.0,1492.0,4.5,11.11111111111111,1.0,0.43,0.03,0.0,1.9,0.11,25.0,25.91,-0.9100000000000001,3.0
