player,team,position,points,bonus,points p/g,form,minutes,now cost,roi per million,conceded,xGA,conceded - xGA,clean sheets,saves,saves per 90
Aaron Ramsdale,Arsenal,Goalkeeper,11.0,0.0,2.8,2.8,360.0,5.0,2.2,4.0,3.73,0.27,1.0,5.0,1.25
Emiliano Martínez Romero,Aston Villa,Goalkeeper,10.0,2.0,3.3,2.5,270.0,5.0,2.0,8.0,6.59,1.4100000000000001,1.0,11.0,3.67
Robin Olsen,Aston Villa,Goalkeeper,2.0,0.0,2.0,0.5,90.0,4.0,0.5,1.0,0.73,0.27,0.0,1.0,1.0
Norberto Murara Neto,Bournemouth,Goalkeeper,15.0,3.0,3.8,3.8,360.0,4.5,3.3333333333333335,8.0,9.5,-1.5,0.0,18.0,4.5
Mark Flekken,Brentford,Goalkeeper,14.0,1.0,3.5,3.5,360.0,4.5,3.111111111111111,5.0,4.54,0.45999999999999996,1.0,13.0,3.25
Jason Steele,Brighton,Goalkeeper,5.0,0.0,2.5,1.2,180.0,4.4,1.1363636363636362,2.0,3.51,-1.5099999999999998,0.0,6.0,3.0
Bart Verbruggen,Brighton,Goalkeeper,4.0,0.0,2.0,1.0,180.0,4.4,0.9090909090909091,4.0,4.63,-0.6299999999999999,0.0,6.0,3.0
James Trafford,Burnley,Goalkeeper,5.0,0.0,1.7,1.7,270.0,4.5,1.1111111111111112,11.0,6.99,4.01,0.0,13.0,4.33
Robert Sánchez,Chelsea,Goalkeeper,12.0,0.0,3.0,3.0,360.0,4.5,2.6666666666666665,5.0,4.22,0.7800000000000002,1.0,6.0,1.5
Sam Johnstone,Crystal Palace,Goalkeeper,11.0,0.0,2.8,2.8,360.0,4.5,2.4444444444444446,4.0,4.8,-0.7999999999999998,1.0,5.0,1.25
Jordan Pickford,Everton,Goalkeeper,5.0,0.0,1.2,1.2,360.0,4.5,1.1111111111111112,8.0,7.01,0.9900000000000002,0.0,12.0,3.0
Bernd Leno,Fulham,Goalkeeper,19.0,5.0,4.8,4.8,360.0,4.5,4.222222222222222,10.0,12.04,-2.039999999999999,1.0,22.0,5.5
Alisson Ramses Becker,Liverpool,Goalkeeper,18.0,2.0,4.5,4.5,360.0,5.5,3.272727272727273,3.0,5.23,-2.2300000000000004,1.0,18.0,4.5
Thomas Kaminski,Luton,Goalkeeper,6.0,1.0,2.0,2.0,270.0,4.5,1.3333333333333333,9.0,7.25,1.75,0.0,14.0,4.67
Ederson Santana de Moraes,Man City,Goalkeeper,17.0,0.0,4.2,4.2,360.0,5.6,3.035714285714286,2.0,2.77,-0.77,2.0,5.0,1.25
André Onana,Man Utd,Goalkeeper,11.0,1.0,2.8,2.8,360.0,5.0,2.2,7.0,7.58,-0.5800000000000001,1.0,15.0,3.75
Nick Pope,Newcastle,Goalkeeper,9.0,0.0,2.2,2.2,360.0,5.5,1.6363636363636365,7.0,5.36,1.6399999999999997,0.0,14.0,3.5
Matt Turner,Nott'm Forest,Goalkeeper,12.0,0.0,3.0,3.0,360.0,4.0,3.0,6.0,6.38,-0.3799999999999999,1.0,16.0,4.0
Wes Foderingham,Sheffield Utd,Goalkeeper,11.0,1.0,2.8,2.8,360.0,4.5,2.4444444444444446,7.0,9.48,-2.4800000000000004,0.0,20.0,5.0
Guglielmo Vicario,Spurs,Goalkeeper,21.0,3.0,5.2,5.2,360.0,5.1,4.11764705882353,4.0,6.03,-2.0300000000000002,2.0,16.0,4.0
Alphonse Areola,West Ham,Goalkeeper,20.0,2.0,5.0,5.0,360.0,4.1,4.878048780487806,4.0,6.77,-2.7699999999999996,0.0,16.0,4.0
José Malheiro de Sá,Wolves,Goalkeeper,17.0,3.0,4.2,4.2,360.0,5.0,3.4,8.0,7.06,0.9400000000000004,1.0,20.0,5.0
