player,team,position,points,bonus,points p/g,form,minutes,now cost,roi per million,goals,xG,goals - xG,xG per 90,assists,xA,xA per 90,xGA
Kai Havertz,Arsenal,Midfielder,2.0,0.0,2.0,2.0,90.0,7.5,0.26666666666666666,0.0,0.05,-0.05,0.05,0.0,0.24,0.24,1.18
Gabriel Martinelli Silva,Arsenal,Midfielder,5.0,0.0,5.0,5.0,85.0,8.0,0.625,0.0,0.0,0.0,0.0,1.0,0.22,0.23,1.16
Martin Ødegaard,Arsenal,Midfielder,2.0,0.0,2.0,2.0,90.0,8.5,0.23529411764705882,0.0,0.11,-0.11,0.11,0.0,0.09,0.09,1.18
Thomas Partey,Arsenal,Midfielder,2.0,0.0,2.0,2.0,90.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.18
Bukayo Saka,Arsenal,Midfielder,10.0,3.0,10.0,10.0,90.0,8.6,1.1627906976744187,1.0,0.19,0.81,0.19,0.0,0.17,0.17,1.18
Leandro Trossard,Arsenal,Midfielder,1.0,0.0,1.0,1.0,17.0,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.88
Declan Rice,Arsenal,Midfielder,2.0,0.0,2.0,2.0,90.0,5.5,0.36363636363636365,0.0,0.25,-0.25,0.25,0.0,0.03,0.03,1.18
Leon Bailey,Aston Villa,Midfielder,1.0,0.0,1.0,1.0,45.0,5.5,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.24
Philippe Coutinho Correia,Aston Villa,Midfielder,1.0,0.0,1.0,1.0,3.0,6.0,0.16666666666666666,0.0,0.08,-0.08,2.4,0.0,0.01,0.3,0.65
Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,1.0,0.0,1.0,1.0,90.0,5.5,0.18181818181818182,0.0,0.19,-0.19,0.19,0.0,0.15,0.15,3.44
Boubacar Kamara,Aston Villa,Midfielder,2.0,0.0,2.0,2.0,90.0,5.0,0.4,0.0,0.03,-0.03,0.03,0.0,0.02,0.02,3.44
John McGinn,Aston Villa,Midfielder,2.0,0.0,2.0,2.0,63.0,5.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.03,0.04,1.8
Jaden Philogene-Bidace,Aston Villa,Midfielder,1.0,0.0,1.0,1.0,3.0,4.5,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
Youri Tielemans,Aston Villa,Midfielder,1.0,0.0,1.0,1.0,45.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.09,0.18,2.2
Moussa Diaby,Aston Villa,Midfielder,7.0,0.0,7.0,7.0,86.0,6.5,1.0769230769230769,1.0,0.36,0.64,0.38,0.0,0.11,0.12,2.8
Jaidon Anthony,Bournemouth,Midfielder,1.0,0.0,1.0,1.0,59.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
Philip Billing,Bournemouth,Midfielder,2.0,0.0,2.0,2.0,90.0,5.5,0.36363636363636365,0.0,0.07,-0.07,0.07,0.0,0.06,0.06,1.07
David Brooks,Bournemouth,Midfielder,2.0,0.0,2.0,2.0,74.0,5.0,0.4,0.0,0.16,-0.16,0.19,0.0,0.02,0.02,0.88
