team,points,bonus,goals,xG,goals - xG,assists,xA,assists - xA
Newcastle,388.0,27.0,18.0,15.61,2.3900000000000006,15.0,7.54,7.46
Man City,380.0,38.0,17.0,15.03,1.9700000000000006,16.0,11.25,4.75
Arsenal,374.0,33.0,14.0,15.01,-1.0099999999999998,15.0,8.04,6.960000000000001
Spurs,357.0,30.0,15.0,13.27,1.7300000000000004,15.0,10.72,4.279999999999999
Aston Villa,355.0,33.0,17.0,14.14,2.8599999999999994,16.0,6.53,9.469999999999999
West Ham,318.0,28.0,13.0,11.49,1.5099999999999998,12.0,7.89,4.11
Brighton,315.0,32.0,18.0,14.93,3.0700000000000003,17.0,11.049999999999999,5.950000000000001
Liverpool,313.0,28.0,14.0,14.75,-0.75,14.0,8.55,5.449999999999999
Crystal Palace,302.0,24.0,7.0,8.33,-1.33,7.0,5.5,1.5
Chelsea,302.0,20.0,7.0,12.86,-5.859999999999999,6.0,9.64,-3.6400000000000006
Brentford,283.0,21.0,10.0,14.82,-4.82,9.0,9.81,-0.8100000000000005
Fulham,275.0,23.0,5.0,7.36,-2.3600000000000003,4.0,4.57,-0.5700000000000003
Man Utd,268.0,19.0,7.0,10.89,-3.8900000000000006,7.0,9.18,-2.1799999999999997
Nott'm Forest,242.0,23.0,8.0,6.36,1.6399999999999997,8.0,4.5600000000000005,3.4399999999999995
Wolves,229.0,14.0,7.0,8.78,-1.7799999999999994,8.0,5.94,2.0599999999999996
Bournemouth,221.0,12.0,5.0,8.68,-3.6799999999999997,5.0,4.58,0.41999999999999993
Luton,207.0,16.0,6.0,8.99,-2.99,5.0,6.49,-1.4900000000000002
Burnley,194.0,9.0,6.0,5.78,0.21999999999999975,6.0,5.49,0.5099999999999998
Everton,189.0,10.0,6.0,11.18,-5.18,5.0,7.41,-2.41
Sheffield Utd,160.0,7.0,4.0,5.57,-1.5700000000000003,3.0,3.27,-0.27
